Year,Recipient_Code,Source_Code, Disbursement ,,,,,,CFLI
2017,IN ,1021," 636,503.50 ",,,,,,
2017,IQ ,1021," 121,423.37 ",,,,,,
2017,IR ,1021," 35,582.68 ",,,,,,
2017,JM ,1021," 48,605.41 ",,,,,,
2017,JO ,1021," 46,580.76 ",,,,,,
2017,KE ,1021," 519,490.52 ",,,,,,
2017,KG ,1021," 205,280.29 ",,,,,,
2017,KH ,1021," 302,599.94 ",,,,,,
2017,KM ,1021," 120,994.40 ",,,,,,
2017,KP ,1021," 312,233.80 ",,,,,,
2017,KV ,1021," 40,676.90 ",,,,,,
2017,KZ ,1021," 28,771.70 ",,,,,,
2017,LA ,1021," 264,317.08 ",,,,,,
2017,LB ,1021," 16,552.61 ",,,,,,
2017,LC ,1021," 9,370.52 ",,,,,,
2017,LK ,1021," 72,391.23 ",,,,,,
2017,LR ,1021," 1,034,314.75 ",,,,,,
2017,LS ,1021," 122,620.18 ",,,,,,
2017,LY ,1021," 24,544.11 ",,,,,,
2017,MA ,1021," 58,398.63 ",,,,,,
2017,MD ,1021," 60,601.30 ",,,,,,
2017,ME ,1021," 36,719.42 ",,,,,,
2017,MG ,1021," 918,880.39 ",,,,,,
2017,MK ,1021," 59,538.51 ",,,,,,
2017,ML ,1021," 549,511.64 ",,,,,,
2017,MM ,1021," 880,109.25 ",,,,,,
2017,MN ,1021," 60,758.08 ",,,,,,
2017,MR ,1021," 191,113.58 ",,,,,,
2017,MS ,1021," 7,474.95 ",,,,,,
2017,MU ,1021," 62,856.62 ",,,,,,
2017,MV ,1021," 50,872.57 ",,,,,,
2017,MW ,1021," 813,584.92 ",,,,,,
2017,MX ,1021," 19,284.95 ",,,,,,
2017,MY ,1021," 33,288.71 ",,,,,,
2017,MZ ,1021," 700,436.99 ",,,,,,
2017,NA ,1021," 58,478.15 ",,,,,,
2017,NE ,1021," 805,540.88 ",,,,,,
2017,NG ,1021," 1,011,218.56 ",,,,,,
2017,NI ,1021," 5,975.00 ",,,,,,
2017,NP ,1021," 669,615.78 ",,,,,,
2017,NU ,1021," 5,240.63 ",,,,,,
2017,PA ,1021," 18,882.78 ",,,,,,
2017,PE ,1021," 70,598.40 ",,,,,,
2017,PG ,1021," 128,292.17 ",,,,,,
2017,PH ,1021," 143,300.26 ",,,,,,
2017,PK ,1021," 569,197.16 ",,,,,,
2017,PS ,1021," 188,084.57 ",,,,,,
2017,PY ,1021," 67,102.58 ",,,,,,
2017,R10,1021," 721,491.55 ",,,,,,
2017,R12,1021," 273,173.21 ",,,,,,
2017,R20,1021," 171,354.74 ",,,,,,
2017,R21,1021, 63.61 ,,,,,,
2017,R30,1021," 440,134.43 ",,,,,,
2017,R31,1021," 218,906.97 ",,,,,,
2017,R35,1021, 370.42 ,,,,,,
2017,R40,1021," 251,236.74 ",,,,,,
2017,R90,1021," 4,388,213.72 ",,,,,,
2017,RS ,1021," 64,205.98 ",,,,,,
2017,RW ,1021," 653,084.19 ",,,,,,
2017,SB ,1021," 84,065.47 ",,,,,,
2017,SC ,1021," 8,898.95 ",,,,,,
2017,SD ,1021," 307,024.79 ",,,,,,
2017,SL ,1021," 545,412.09 ",,,,,,
2017,SN ,1021," 293,669.25 ",,,,,,
2017,SO ,1021," 884,189.05 ",,,,,,
2017,SR ,1021," 17,968.73 ",,,,,,
2017,SS ,1021," 196,536.60 ",,,,,,
2017,ST ,1021," 55,875.67 ",,,,,,
